energy(MeV),y(mm),z(mm)
0.00001361,56653.7,189577
0.00130396,56653.7,189577
0.0186588,56653.7,189577
0.00616188,56653.7,189577
0.00001756,153954,158260
0.0015461,153954,158260
0.0141143,153954,158260
0.0201206,153954,158260
0.0102167,153954,158260
0.00001756,85080,193500
0.00001756,85387.1,193264
0.00000899,85329.3,193263
0.000322747,85329.3,193263
0.0136303,85329.3,193263
0.00868722,85387.1,193264
0.00779991,85387.1,193264
0.0124253,85387.2,193264
0.0107026,85387.2,193264
0.00590218,85387.2,193264
0.00646885,85387.2,193264
0.00540289,85387.2,193264
0.00582179,85387.2,193264
0.00617283,85387.1,193263
0.00679765,85387.1,193263
0.00551909,85387.1,193263
0.00675748,85387.1,193263
0.00510992,85387.1,193263
0.00323381,85387.1,193263
0.00551336,85387.1,193263
0.00569773,85387,193263
0.00454013,85387,193263
0.0164157,85387,193263
0.0143051,85387,193263
0.0233539,85386.9,193263
0.0124904,85386.9,193263
0.0161642,85387,193263
0.0183904,85387,193263
0.0149725,85387,193263
0.0241324,85080,193500
0.0560907,85080.1,193500
0.0620512,85080.3,193500
0.0497255,85080.5,193500
0.0507188,85080.6,193500
0.0361318,85080.8,193500
0.026257,85080.9,193500
0.0297421,85081,193500
0.0241649,85081,193500
0.0287859,85081.1,193501
0.0166535,85081.1,193501
0.018328,85081.2,193501
0.0180981,85081.1,193501
0.0188479,85081.1,193501
0.015106,85081.1,193501
0.0110378,85081.1,193501
0.0135692,85081.1,193501
0.0176211,85081.1,193501
0.011535,85081.1,193501
0.00029101,-70504.6,-375500
0.282248,-70505.3,-375501
0.0960306,-70505.7,-375502
0.0466855,-70505.9,-375502
0.0269178,-70506.1,-375502
0.00994573,-70506.2,-375502
0.0248258,-70506.2,-375502
0.00577695,-70506.3,-375502
0.00251038,-70506.3,-375502
0.00299191,-70506.3,-375502
0.00215026,-70506.3,-375502
0.0010386,-70506.3,-375502
0.000106984,-70506.3,-375502
0.000283369,-70506.3,-375502
8.14E-05,-70506.3,-375502
2.20E-05,-70506.3,-375502
0.00009298,-70572,-375578
0.000312299,-70572,-375578
0.000108906,-70572,-375578
0.000428707,-70572,-375578
6.19E-05,-70572,-375578
0.000150381,-70572,-375578
1.82E-05,-70572,-375578
0.000102844,-70572,-375578
3.73E-06,-70572,-375578
0.000695582,-70572,-375578
2.88E-05,-70572,-375578
0.000771484,-70572,-375578
0.00009842,-70572,-375578
0.000108602,-70572,-375578
0.00143036,-70572,-375578
0.000143219,-70572.1,-375578
0.00045033,-70572.1,-375578
0.00041792,-70572.1,-375578
2.65E-05,-70572.1,-375578
0.000162325,-70572.1,-375578
0.00208132,-70572.1,-375578
0.0013672,-70572.1,-375578
0.000800919,-70572.1,-375578
0.00412136,-70572.1,-375578
0.00367839,-70572.1,-375578
0.00149659,-70572.1,-375578
0.00144399,-70572.1,-375578
0.000836633,-70572.1,-375578
0.0023332,-70572.1,-375578
0.00252025,-70572.1,-375578
0.00260935,-70572.1,-375578
0.00184822,-70572.1,-375578
0.0033473,-70572.2,-375578
0.00291572,-70572.2,-375578
0.00518869,-70572.2,-375578
0.0104086,-70572.2,-375578
0.00588176,-70572.2,-375578
0.00302168,-70572.2,-375578
0.00282261,-70572.3,-375578
0.00462486,-70572.3,-375578
0.00485753,-70572.3,-375578
0.00969223,-70572.3,-375578
0.0077135,-70572.4,-375579
0.00806413,-70572.4,-375579
0.0149578,-70572.4,-375579
0.0117811,-70572.5,-375579
0.0168133,-70572.6,-375579
0.0181418,-70572.6,-375579
0.0245759,-70572.7,-375579
0.0282926,-70572.8,-375579
0.0310757,-70572.9,-375579
0.0411378,-70573.1,-375580
0.0629646,-70573.4,-375580
0.100444,-70573.7,-375580
0.100998,-70574,-375581
0.0982783,-70574.2,-375582
0.0956667,-70574.3,-375582
0.16112,-70574.1,-375583
0.0751133,-70573.7,-375583
0.0782512,-70573.3,-375583
0.128453,-70572.8,-375583
0.0877559,-70572.4,-375583
0.0468484,-70572.1,-375583
0.0558287,-70571.8,-375583
0.0672844,-70571.5,-375583
0.0616892,-70571.3,-375583
0.0368096,-70571.1,-375583
0.0435685,-70570.9,-375582
0.0428216,-70570.7,-375582
0.0322313,-70570.5,-375582
0.0531414,-70570.3,-375582
0.030124,-70570.2,-375582
0.0470674,-70570,-375582
0.024192,-70569.9,-375582
0.0267147,-70569.8,-375582
0.0223944,-70569.7,-375582
0.0202795,-70569.6,-375582
0.0268124,-70569.5,-375581
0.0212305,-70569.4,-375581
0.0211316,-70569.3,-375581
0.123091,-70569.3,-375582
0.0331139,-70569.2,-375582
0.0255163,-70569.2,-375582
0.027323,-70569.2,-375582
0.0262087,-70569.2,-375582
